device_id,pollution,timestamp,lat,lon
74DA3895DFBC,12,2016-11-29T16:15:01Z,24.965,121.194
74DA3895DFB6,66,2016-12-16T09:00:00Z,24.186,120.643
74DA3895DFB4,51,2016-12-17T09:25:00Z,24.071,120.643
74DA3895DFB2,34,2016-12-17T09:25:00Z,22.669,120.3
74DA3895DFB0,31,2016-12-17T09:25:00Z,22.879,121.214
74DA3895DFAA,59,2016-12-17T09:25:00Z,24.122,120.499
74DA3895DFA8,35,2016-12-16T13:20:00Z,25.062,121.451
74DA3895DFA6,33,2016-12-15T02:50:00Z,24.309,120.942
74DA3895DFA4,201,2016-12-17T09:25:00Z,23.961,120.468
74DA3895DFA2,27,2016-12-17T09:25:00Z,23.343,121.456
74DA3895DF9E,53,2016-12-17T09:25:00Z,24.355,120.624
74DA3895DF9C,32,2016-12-17T09:25:00Z,23.6,121.521
74DA3895C5B4,35,2016-12-17T09:25:00Z,24.112,120.667
74DA3895C5B0,57,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C5AE,52,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C5AA,52,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C5A8,52,2016-12-06T03:50:01Z,24.162,120.616
74DA3895C5A2,57,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C598,39,2016-12-17T09:25:00Z,24.148,120.637
74DA3895C596,46,2016-12-17T09:25:00Z,24.131,120.644
74DA3895C590,46,2016-12-17T09:25:00Z,24.252,120.739
74DA3895C58E,48,2016-12-17T09:25:00Z,24.18,120.666
74DA3895C588,48,2016-12-17T09:25:00Z,24.14,120.64
74DA3895C57E,166,2016-12-17T09:25:00Z,24.303,120.707
74DA3895C576,43,2016-12-17T09:25:00Z,24.164,120.715
74DA3895C572,67,2016-12-17T09:25:00Z,24.25,120.673
74DA3895C56C,43,2016-12-17T09:25:00Z,24.119,120.67
74DA3895C56A,35,2016-12-11T08:35:00Z,24.249,120.701
74DA3895C560,59,2016-12-17T09:25:00Z,24.176,120.685
74DA3895C55E,41,2016-12-17T09:25:00Z,24.115,120.657
74DA3895C55C,42,2016-12-17T09:25:00Z,24.174,120.578
74DA3895C55A,43,2016-12-17T09:25:00Z,24.308,120.704
74DA3895C54C,40,2016-12-17T09:25:00Z,24.179,120.615
74DA3895C54A,101,2016-12-17T09:25:00Z,23.933,120.669
74DA3895C540,51,2016-12-05T12:55:00Z,22.373,114.109
74DA3895C524,48,2016-12-10T22:55:00Z,24.117,120.663
74DA3895C514,52,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C502,52,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C4F2,48,2016-12-06T03:35:01Z,25.04,121.614
74DA3895C4F0,53,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C4EC,53,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C4EA,48,2016-12-06T03:30:01Z,25.04,121.614
74DA3895C4E8,52,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C4E6,45,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C4CE,36,2016-12-17T09:25:00Z,24.113,120.504
74DA3895C4CC,49,2016-12-06T03:40:00Z,25.04,121.614
74DA3895C4A8,54,2016-12-06T03:50:01Z,25.039,121.614
74DA3895C488,47,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C486,49,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C482,45,2016-12-06T03:50:01Z,24.162,120.616
74DA3895C47E,53,2016-12-06T03:40:00Z,25.04,121.614
74DA3895C47C,48,2016-12-06T03:50:01Z,25.039,121.614
74DA3895C46C,55,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C466,51,2016-12-17T09:25:00Z,24.173,120.652
74DA3895C45A,54,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C458,51,2016-12-06T03:40:00Z,25.04,121.614
74DA3895C446,51,2016-12-17T09:25:00Z,21.004,105.847
74DA3895C442,7,2016-12-17T09:25:00Z,35.119,-89.934
74DA3895C440,39,2016-12-15T02:35:00Z,22.674,120.478
74DA3895C43E,3,2016-12-17T09:25:00Z,42.344,-71.103
74DA3895C43A,52,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C438,15,2016-12-07T04:25:00Z,25.007,121.482
74DA3895C436,15,2016-12-17T09:25:00Z,24.062,120.541
74DA3895C434,49,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C432,55,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C430,51,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C42E,39,2016-12-17T09:25:00Z,24.35,120.614
74DA3895C41E,13,2016-12-17T09:25:00Z,14.647,121.071
74DA3895C41A,45,2016-12-17T09:25:00Z,24.154,120.648
74DA3895C418,39,2016-12-17T09:25:00Z,24.215,120.705
74DA3895C416,9,2016-12-17T09:25:00Z,25.04,121.614
74DA3895C410,41,2016-12-17T09:25:00Z,24.087,120.581
74DA3895C40E,39,2016-12-17T09:25:00Z,24.173,120.696
74DA3895C40A,34,2016-12-17T09:25:00Z,24.407,120.642
74DA3895C408,52,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C406,15,2016-12-17T09:25:00Z,25.015,121.431
74DA3895C3FE,20,2016-12-14T17:00:00Z,24.155,120.667
74DA3895C3FC,52,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C3F0,31,2016-12-17T09:25:00Z,24.126,120.512
74DA3895C3EE,60,2016-12-17T09:25:00Z,24.172,120.671
74DA3895C3EC,44,2016-12-17T09:25:00Z,24.109,120.688
74DA3895C3EA,50,2016-12-17T09:25:00Z,24.018,120.656
74DA3895C3E8,43,2016-12-17T09:25:00Z,24.154,120.65
74DA3895C3E4,47,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C3E2,46,2016-12-17T09:25:00Z,24.141,120.657
74DA3895C3DC,41,2016-12-17T09:25:00Z,24.153,120.631
74DA3895C3D8,54,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C3CC,45,2016-12-17T09:25:00Z,24.109,120.599
74DA3895C3CA,24,2016-12-17T09:25:00Z,24.14,120.656
74DA3895C3C6,51,2016-12-06T03:45:01Z,24.162,120.616
74DA3895C3C4,52,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C3C0,44,2016-12-17T09:25:00Z,24.091,120.69
74DA3895C3BE,52,2016-12-17T09:25:00Z,24.107,120.621
74DA3895C3BA,48,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C3B8,39,2016-12-17T09:25:00Z,24.137,120.658
74DA3895C3B6,54,2016-12-06T03:45:01Z,24.162,120.616
74DA3895C3B4,42,2016-12-12T05:30:00Z,24.163,120.695
74DA3895C3B2,44,2016-12-16T01:20:00Z,24.801,120.972
74DA3895C3B0,53,2016-12-06T03:50:01Z,25.04,121.614
74DA3895C3AE,37,2016-12-17T09:25:00Z,24.175,120.617
74DA3895C3AC,38,2016-12-17T09:25:00Z,24.304,120.717
74DA3895C3A0,50,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C39E,34,2016-12-17T09:25:00Z,23.046,120.217
74DA3895C39A,42,2016-12-17T09:25:00Z,24.145,120.725
74DA3895C398,49,2016-12-17T09:25:00Z,24.067,120.701
74DA3895C396,89,2016-12-17T09:25:00Z,24.266,120.566
74DA3895C394,38,2016-12-17T09:25:00Z,24.302,120.72
74DA3895C392,39,2016-12-17T09:25:00Z,24.186,120.698
74DA3895C38E,37,2016-12-17T09:25:00Z,24.313,120.729
74DA3895C38C,33,2016-12-17T09:25:00Z,24.314,120.719
74DA3895C38A,53,2016-12-17T09:25:00Z,24.122,120.735
74DA3895C376,37,2016-12-17T09:25:00Z,24.139,120.597
74DA3895C372,43,2016-12-17T09:25:00Z,22.662,120.49
74DA3895C36E,13,2016-12-07T04:30:00Z,25.007,121.483
74DA3895C36C,14,2016-12-07T04:30:00Z,25.007,121.483
74DA3895C368,44,2016-12-17T09:25:00Z,24.057,120.697
74DA3895C366,52,2016-12-17T09:25:00Z,24.094,120.647
74DA3895C362,45,2016-12-17T09:25:00Z,24.288,120.723
74DA3895C35E,44,2016-12-17T09:25:00Z,24.308,120.715
74DA3895C358,6,2016-12-17T08:15:00Z,24.967,121.187
74DA3895C356,152,2016-12-09T05:00:00Z,25.062,121.451
74DA3895C354,14,2016-12-17T09:25:00Z,24.627,121.794
74DA3895C348,39,2016-12-17T09:25:00Z,24.124,120.632
74DA3895C346,5,2016-12-17T09:25:00Z,29.699,-82.404
74DA3895C344,28,2016-12-17T09:25:00Z,14.077,100.613
74DA3895C342,5,2016-12-13T10:45:00Z,29.637,-82.416
74DA3895C33C,51,2016-12-06T03:20:00Z,25.04,121.614
74DA3895C33A,16,2016-12-17T09:25:00Z,24.596,121.835
74DA3895C338,48,2016-12-06T03:45:01Z,25.04,121.614
74DA3895C332,13,2016-12-17T09:25:00Z,25.071,121.364
74DA3895C330,23,2016-12-17T09:25:00Z,24.75,121.006
74DA3895C32A,9,2016-12-17T09:25:00Z,25.012,121.519
74DA3895C326,26,2016-12-17T09:25:00Z,24.609,120.761
74DA3895C324,41,2016-12-17T09:25:00Z,24.226,120.582
74DA3895C322,46,2016-12-17T09:25:00Z,24.116,120.663
74DA3895C320,42,2016-12-17T09:25:00Z,24.19,120.619
74DA3895C31E,45,2016-12-17T09:25:00Z,24.156,120.637
74DA3895C31C,41,2016-12-17T09:25:00Z,24.344,120.618
74DA3895C318,4,2016-12-17T09:25:00Z,24.134,120.724
74DA3895C314,45,2016-12-17T09:25:00Z,24.214,120.631
74DA3895C312,41,2016-12-17T09:25:00Z,24.187,120.595
74DA3895C30C,40,2016-12-17T09:25:00Z,24.162,120.723
74DA3895C30A,41,2016-12-17T09:25:00Z,24.225,120.714
74DA3895C308,42,2016-12-17T09:25:00Z,24.063,120.533
74DA3895C306,55,2016-12-17T09:25:00Z,24.047,120.429
74DA3895C304,41,2016-12-17T09:25:00Z,24.263,120.743
74DA3895C2FE,15,2016-12-17T09:25:00Z,39.171,-86.474
74DA3895C2FC,2,2016-12-17T09:25:00Z,42.327,-71.108
74DA3895C2FA,38,2016-12-17T09:25:00Z,24.139,120.593
74DA3895C2F8,48,2016-12-17T09:25:00Z,24.12,120.734
74DA3895C2F4,20,2016-12-17T09:25:00Z,25.033,121.554
74DA3895C2F2,69,2016-12-17T09:25:00Z,24.299,120.577
74DA3895C2F0,13,2016-12-17T09:25:00Z,24.786,120.997
74DA3895C2E8,13,2016-12-07T20:10:00Z,32.284,34.872
74DA3895C2E4,23,2016-12-17T09:25:00Z,24.168,120.662
74DA3895C2E2,34,2016-12-17T09:25:00Z,24.157,120.664
74DA3895C2DC,61,2016-12-17T09:25:00Z,37.54,127.073
74DA3895C2DA,2,2016-12-15T22:50:00Z,38.88,-77.114
74DA3895C2D4,69,2016-12-17T09:25:00Z,23.717,120.546
74DA3895C2C4,39,2016-12-17T09:25:00Z,24.19,120.614
74DA3895C2C0,38,2016-12-17T09:25:00Z,24.149,120.67
74DA3895C2BE,42,2016-12-17T09:25:00Z,24.164,120.731
74DA3895C2BC,28,2016-12-16T18:40:00Z,24.185,120.604
74DA3895C2BA,54,2016-12-17T09:25:00Z,24.216,120.567
74DA3895C2B8,35,2016-12-17T09:25:00Z,24.166,120.682
74DA3895C2B6,38,2016-12-17T09:25:00Z,24.394,120.603
